#   R   (LS,N)= ( 0, 0)      ( 1, 0)      ( 2, 0)      ( 0, 1)      ( 1, 1)      ( 2, 1)      ( 0, 2)      ( 1, 2)      ( 2, 2)
   9.500      3.01390E-01  2.56731E-01  1.69396E-01  1.01287E-01  2.29202E-01  2.18361E-01 -5.58404E-02  1.42121E-01  2.15469E-01
   9.600      3.01075E-01  2.59163E-01  1.72801E-01  9.55188E-02  2.27597E-01  2.20621E-01 -6.28729E-02  1.36617E-01  2.14977E-01
   9.700      3.00692E-01  2.61529E-01  1.76195E-01  8.96826E-02  2.25825E-01  2.22762E-01 -6.98305E-02  1.30947E-01  2.14264E-01
   9.800      3.00240E-01  2.63828E-01  1.79576E-01  8.37830E-02  2.23887E-01  2.24781E-01 -7.67050E-02  1.25117E-01  2.13330E-01
   9.900      2.99723E-01  2.66061E-01  1.82944E-01  7.78243E-02  2.21784E-01  2.26672E-01 -8.34885E-02  1.19135E-01  2.12173E-01
  10.000      2.99139E-01  2.68225E-01  1.86295E-01  7.18111E-02  2.19516E-01  2.28435E-01 -9.01732E-02  1.13007E-01  2.10792E-01
  10.100      2.98490E-01  2.70320E-01  1.89627E-01  6.57476E-02  2.17087E-01  2.30064E-01 -9.67513E-02  1.06741E-01  2.09187E-01
  10.200      2.97778E-01  2.72345E-01  1.92939E-01  5.96385E-02  2.14496E-01  2.31558E-01 -1.03216E-01  1.00345E-01  2.07358E-01
  10.300      2.97004E-01  2.74299E-01  1.96229E-01  5.34880E-02  2.11747E-01  2.32913E-01 -1.09558E-01  9.38253E-02  2.05304E-01
  10.400      2.96167E-01  2.76183E-01  1.99495E-01  4.73006E-02  2.08840E-01  2.34127E-01 -1.15773E-01  8.71911E-02  2.03027E-01
  10.500      2.95270E-01  2.77994E-01  2.02734E-01  4.10807E-02  2.05778E-01  2.35197E-01 -1.21852E-01  8.04500E-02  2.00528E-01
  10.600      2.94314E-01  2.79732E-01  2.05944E-01  3.48327E-02  2.02563E-01  2.36120E-01 -1.27789E-01  7.36102E-02  1.97807E-01
  10.700      2.93299E-01  2.81398E-01  2.09125E-01  2.85610E-02  1.99197E-01  2.36895E-01 -1.33577E-01  6.66802E-02  1.94866E-01
  10.800      2.92227E-01  2.82989E-01  2.12273E-01  2.22699E-02  1.95683E-01  2.37520E-01 -1.39211E-01  5.96684E-02  1.91707E-01
  10.900      2.91099E-01  2.84507E-01  2.15388E-01  1.59638E-02  1.92023E-01  2.37992E-01 -1.44683E-01  5.25835E-02  1.88333E-01
  11.000      2.89915E-01  2.85950E-01  2.18466E-01  9.64703E-03  1.88221E-01  2.38309E-01 -1.49989E-01  4.54340E-02  1.84745E-01
  11.100      2.88678E-01  2.87318E-01  2.21507E-01  3.32378E-03  1.84278E-01  2.38471E-01 -1.55122E-01  3.82288E-02  1.80948E-01
  11.200      2.87388E-01  2.88611E-01  2.24509E-01 -3.00169E-03  1.80199E-01  2.38475E-01 -1.60077E-01  3.09768E-02  1.76944E-01
  11.300      2.86047E-01  2.89829E-01  2.27469E-01 -9.32517E-03  1.75985E-01  2.38320E-01 -1.64849E-01  2.36867E-02  1.72736E-01
  11.400      2.84655E-01  2.90971E-01  2.30386E-01 -1.56425E-02  1.71641E-01  2.38005E-01 -1.69432E-01  1.63677E-02  1.68330E-01
  11.500      2.83214E-01  2.92038E-01  2.33259E-01 -2.19496E-02  1.67169E-01  2.37530E-01 -1.73823E-01  9.02859E-03  1.63728E-01
  11.600      2.81725E-01  2.93029E-01  2.36086E-01 -2.82424E-02  1.62573E-01  2.36892E-01 -1.78017E-01  1.67844E-03  1.58936E-01
  11.700      2.80190E-01  2.93944E-01  2.38864E-01 -3.45169E-02  1.57857E-01  2.36093E-01 -1.82010E-01 -5.67377E-03  1.53959E-01
  11.800      2.78608E-01  2.94783E-01  2.41594E-01 -4.07691E-02  1.53024E-01  2.35131E-01 -1.85798E-01 -1.30190E-02  1.48801E-01
  11.900      2.76983E-01  2.95546E-01  2.44272E-01 -4.69952E-02  1.48078E-01  2.34006E-01 -1.89376E-01 -2.03484E-02  1.43468E-01
  12.000      2.75314E-01  2.96234E-01  2.46898E-01 -5.31913E-02  1.43022E-01  2.32718E-01 -1.92743E-01 -2.76529E-02  1.37966E-01
  12.100      2.73603E-01  2.96847E-01  2.49471E-01 -5.93536E-02  1.37862E-01  2.31266E-01 -1.95894E-01 -3.49238E-02  1.32301E-01
  12.200      2.71852E-01  2.97384E-01  2.51988E-01 -6.54785E-02  1.32599E-01  2.29652E-01 -1.98827E-01 -4.21520E-02  1.26479E-01
  12.300      2.70061E-01  2.97846E-01  2.54448E-01 -7.15622E-02  1.27239E-01  2.27876E-01 -2.01539E-01 -4.93290E-02  1.20507E-01
  12.400      2.68231E-01  2.98234E-01  2.56850E-01 -7.76014E-02  1.21786E-01  2.25938E-01 -2.04028E-01 -5.64461E-02  1.14391E-01
  12.500      2.66365E-01  2.98547E-01  2.59194E-01 -8.35923E-02  1.16244E-01  2.23839E-01 -2.06293E-01 -6.34946E-02  1.08138E-01
  12.600      2.64463E-01  2.98786E-01  2.61477E-01 -8.95317E-02  1.10617E-01  2.21580E-01 -2.08330E-01 -7.04661E-02  1.01756E-01
  12.700      2.62526E-01  2.98952E-01  2.63698E-01 -9.54162E-02  1.04910E-01  2.19162E-01 -2.10139E-01 -7.73523E-02  9.52518E-02
  12.800      2.60556E-01  2.99045E-01  2.65857E-01 -1.01243E-01  9.91260E-02  2.16586E-01 -2.11719E-01 -8.41450E-02  8.86329E-02
  12.900      2.58553E-01  2.99065E-01  2.67952E-01 -1.07008E-01  9.32703E-02  2.13853E-01 -2.13069E-01 -9.08361E-02  8.19073E-02
  13.000      2.56520E-01  2.99013E-01  2.69982E-01 -1.12708E-01  8.73472E-02  2.10966E-01 -2.14187E-01 -9.74178E-02  7.50829E-02
  13.100      2.54457E-01  2.98890E-01  2.71947E-01 -1.18341E-01  8.13610E-02  2.07926E-01 -2.15074E-01 -1.03882E-01  6.81678E-02
  13.200      2.52365E-01  2.98696E-01  2.73845E-01 -1.23904E-01  7.53164E-02  2.04734E-01 -2.15729E-01 -1.10222E-01  6.11702E-02
